,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
71,malvikamgm,University of Illinois at Chicago,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.5 CGPA ,NA
72,pav1993,University of Illinois at Chicago,Management Information System,Fall 2019 ,Interested,310,TOEFL,0,8.98 CGPA ,35 months
73,Naman Rungta,University of Illinois at Chicago,Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,72%,27 months
74,vivekku9944,University of Illinois at Chicago,Management Information System,Fall 2018 ,Interested,293,TOEFL,82,55%,22 months
75,menon10,University of Illinois at Chicago,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,65%,12 months
76,ManeeshMettu,University of Illinois at Chicago,Management Information System,Fall 2019  ,Interested,315,TOEFL,112,8.3 CGPA ,12 months
77,SakshiMsUs,University of Illinois at Chicago,Management Information System,Spring 2018 ,Interested,304,TOEFL,95,67%,35 months
78,Shreyaschaudhari,University of Illinois at Chicago,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,6.8 CGPA ,1 month
79,Nimish18,University of Illinois at Chicago,Management Information System,Fall 2019 ,Interested,287,ENG TEST,NA ,59.90%,80 months
80,prisias,University of Illinois at Chicago,Management Information System,Spring 2019 ,Interested,291,IELTS,7,6.7 CGPA ,9 months
81,Denzel,University of Illinois at Chicago,Management Information System,Spring 2019 ,Interested,322,TOEFL,113,6.8 CGPA ,30 months
82,anukriti,University of Illinois at Chicago,Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,71%,NA
83,CSNinja,University of Illinois at Chicago,Management Information System,Spring 2019 ,Interested,N.A. ,TOEFL,92,80%,60 months
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,Priyojit,University of Iowa,Informatics,Fall 2018  ,Applied,311,TOEFL,90,8.83 CGPA ,2 months
2,willian,University of Iowa,Informatics,Fall 2017 ,Applied,307,TOEFL,95,7.5 CGPA ,NA
3,soumya343,University of Iowa,Informatics,Fall 2017 ,Applied,313,TOEFL,95,7.5 CGPA ,48 months
7,scsv10,University of Iowa,Informatics,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.98 CGPA ,NA
8,lpriya,University of Iowa,Informatics,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,64.50%,NA
9,ashish.singh712,University of Iowa,Informatics,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,67%,NA
10,Goutham11,University of Iowa,Informatics,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,60%,NA
11,Prachi-Jain,University of Iowa,Informatics,Spring 2019 ,Interested,316,ENG TEST,NA ,7.8 CGPA ,37 months
12,kewalc,University of Iowa,Informatics,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,58%,NA
13,Mayank1991,University of Iowa,Informatics,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,67%,NA
14,teja129,University of Iowa,Informatics,Spring 2019 ,Interested,296,TOEFL,90,64%,NA
15,shruuu,University of Iowa,Informatics,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,9.03 CGPA ,NA
16,Prashi96,University of Iowa,Informatics,Fall 2020 ,Interested,N.A. ,ENG TEST,NA ,8.7 CGPA ,NA
17,MVPAVANKUMARREDDY,University of Iowa,Informatics,Spring 2019 ,Interested,290,IELTS,7,76%,8 months
18,dinonota,University of Iowa,Informatics,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,6.4 CGPA ,12 months
19,Ananya2,University of Iowa,Informatics,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,58%,NA
20,Vidhyashree,University of Iowa,Informatics,Spring 2019 ,Interested,299,TOEFL,101,9.1 CGPA ,14 months
21,Popopo,University of Iowa,Informatics,Fall 2018 ,Interested,304,ENG TEST,NA ,8.5 CGPA ,24 months
22,Sahir003,University of Iowa,Informatics,Fall 2018 ,Interested,314,ENG TEST,NA ,5.8 CGPA ,NA
23,satyam2607,University of Iowa,Informatics,Fall 2020 ,Interested,314,ENG TEST,NA ,69.57%,26 months
24,malvina,University of Iowa,Informatics,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,74%,NA
25,BhavaniK,University of Iowa,Informatics,Fall 2018 ,Interested,N.A. ,TOEFL,110,8.02 CGPA ,22 months
26,rundhu,University of Iowa,Informatics,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,69.73%,NA
,Name,University,,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,Karthik482,"University of Maryland, College Park",Management Information System,Spring 2019 ,Applied,313,ENG TEST,NA ,7.2 CGPA ,NA
2,Seemanthini ,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,301,TOEFL,0,8.4 CGPA ,29 months
3,Giridhar312,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,311,IELTS,7,7.74 CGPA ,25 months
4,latikawadhwa,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,308,TOEFL,106,8.42 CGPA ,9 months
5,frey_b,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,300,TOEFL,103,9 CGPA ,30 months
6,ChaitanyaMag,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,303,TOEFL,97,7 CGPA ,16 months
7,KoSanjana,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,305,TOEFL,109,86%,25 months
8,Aakash6993,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,318,TOEFL,102,67%,32 months
9,AsadM,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,301,ENG TEST,NA ,65%,74 months
10,adipareshshah,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,N.A. ,TOEFL,113,73.89%,60 months
11,rohanmanatkar,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,318,TOEFL,108,6.54 CGPA ,5 months
12,Devash,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,305,TOEFL,100,9 CGPA ,43 months
13,Sukrit07,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,324,TOEFL,109,6.2 CGPA ,40 months
14,ajin22,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,322,TOEFL,114,64%,29 months
15,darshisheth,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,307,TOEFL,105,8.02 CGPA ,NA
16,Shivapriyak,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,317,TOEFL,103,79%,60 months
17,varunz,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,313,TOEFL,101,80.14%,48 months
18,Devansh1205,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,310,TOEFL,98,6.51 CGPA ,6 months
19,SHETE96,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,309,ENG TEST,NA ,8.14 CGPA ,2 months
20,deeksha96,"University of Maryland, College Park",Management Information System,Fall 2018 ,Applied,N.A. ,ENG TEST,NA ,8.23 CGPA ,10 months
22,LeharA,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,310,TOEFL,106,75.60%,42 months
23,nishanth10,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,306,TOEFL,94,7.6 CGPA ,35 months
24,hrgupta,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,310,TOEFL,107,7.39 CGPA ,14 months
25,ParthMehta,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,314,TOEFL,106,9.15 CGPA ,NA
26,KrithikaCT,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,301,TOEFL,0,80.12%,60 months
27,Balvaishwer,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,313,TOEFL,0,84%,24 months
28,Skywalker95,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,317,TOEFL,101,67%,18 months
29,mohitghodake,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,311,TOEFL,98,7.31 CGPA ,25 months
30,ohm,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,313,TOEFL,104,6.5 CGPA ,1 month
31,rupam3,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,312,TOEFL,98,7.07 CGPA ,14 months
32,four123,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,315,TOEFL,0,6.93 CGPA ,2 months
33,ratnesh,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,315,TOEFL,108,83.30%,8 months
34,Saintblood9,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,317,TOEFL,104,75.20%,35 months
35,Vedang07,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,317,TOEFL,108,8.2 CGPA ,NA
36,Samra ,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,316,TOEFL,112,8.48 CGPA ,21 months
37,gauriyewale,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,312,TOEFL,105,64.86%,18 months
38,ritika101,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,307,TOEFL,105,72%,54 months
39,anshul0414,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,316,TOEFL,103,81.01%,13 months
40,Harsh237,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,310,TOEFL,95,7 CGPA ,6 months
41,kushalwalia,"University of Maryland, College Park",Management Information System,Fall 2018 ,Admit,315,TOEFL,0,70%,NA
43,AkshayBagde,"University of Maryland, College Park",Management Information System,Fall 2018 ,Reject,307,TOEFL,108,75%,NA
44,thegauravsalvi123,"University of Maryland, College Park",Management Information System,Fall 2018 ,Reject,318,TOEFL,104,6.4 CGPA ,15 months
45,Setu04,"University of Maryland, College Park",Management Information System,Fall 2018 ,Reject,308,TOEFL,102,7.09 CGPA ,NA
46,Kripesh,"University of Maryland, College Park",Management Information System,Fall 2018 ,Reject,304,TOEFL,96,7.87 CGPA ,12 months
47,----------,"University of Maryland, College Park",Management Information System,Fall 2018 ,Reject,N.A. ,TOEFL,102,8.87 CGPA ,30 months
48,sreenidhi ,"University of Maryland, College Park",Management Information System,Spring 2018 ,Reject,304,TOEFL,112,8.25 CGPA ,NA
49,Proshonjit,"University of Maryland, College Park",Management Information System,Fall 2017 ,Reject,313,TOEFL,112,55%,43 months
50,shivamgta,"University of Maryland, College Park",Management Information System,Fall 2017 ,Reject,309,TOEFL,95,68%,23 months
51,rutuldesai,"University of Maryland, College Park",Management Information System,Fall 2017 ,Reject,313,TOEFL,102,6.68 CGPA ,16 months
52,harshsukhi,"University of Maryland, College Park",Management Information System,Fall 2017 ,Reject,309,TOEFL,99,66%,30 months
53,Harshada B,"University of Maryland, College Park",Management Information System,Fall 2017 ,Reject,307,TOEFL,100,63%,48 months
54,Tushar MJ,"University of Maryland, College Park",Management Information System,Fall 2017 ,Reject,311,TOEFL,96,80.12%,27 months
55,druvika,"University of Maryland, College Park",Management Information System,Fall 2017 ,Reject,303,TOEFL,91,66%,35 months
56,goodrajat,"University of Maryland, College Park",Management Information System,Fall 2017 ,Reject,311,TOEFL,98,8.84 CGPA ,27 months
57,ApoorvaA,"University of Maryland, College Park",Management Information System,Fall 2017 ,Reject,312,TOEFL,97,66.67%,18 months
58,Ishita1302,"University of Maryland, College Park",Management Information System,Fall 2017 ,Reject,309,TOEFL,88,7.69 CGPA ,16 months
59,sumitpratap,"University of Maryland, College Park",Management Information System,Fall 2017 ,Reject,314,TOEFL,100,69%,61 months
60,adi.sandbox,"University of Maryland, College Park",Management Information System,Fall 2017 ,Reject,307,TOEFL,100,67%,53 months
61,tanu.shetty14,"University of Maryland, College Park",Management Information System,Fall 2017 ,Reject,305,TOEFL,109,65.45%,18 months
62,rushabhmeht,"University of Maryland, College Park",Management Information System,Fall 2017 ,Reject,314,TOEFL,104,58%,53 months
64,ishitap2018,"University of Maryland, College Park",Management Information System,Fall 2019 ,Interested,311,ENG TEST,NA ,68%,45 months
65,prasoons075,"University of Maryland, College Park",Management Information System,Spring 2019 ,Interested,304,ENG TEST,NA ,74%,24 months
66,aishwaryacraj,"University of Maryland, College Park",Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.78 CGPA ,1 month
67,MeghaPN,"University of Maryland, College Park",Management Information System,Spring 2019 ,Interested,303,TOEFL,95,75%,20 months
68,nidhi-badde,"University of Maryland, College Park",Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,65%,12 months
69,Orpheus4256,"University of Maryland, College Park",Management Information System,Fall 2019 ,Interested,310,TOEFL,106,7.92 CGPA ,35 months
70,aastha1897,"University of Maryland, College Park",Management Information System,Spring 2019 ,Interested,312,IELTS,7.5,7.9 CGPA ,NA
71,Abhiggg,"University of Maryland, College Park",Management Information System,Fall 2018 ,Interested,314,TOEFL,100,8.5 CGPA ,15 months
72,AdityaBenjamin,"University of Maryland, College Park",Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,6.75 CGPA ,22 months
73,ratnamandava,"University of Maryland, College Park",Management Information System,Fall 2019 ,Interested,322,ENG TEST,NA ,6.45 CGPA ,1 month
74,hjkkjg,"University of Maryland, College Park",Management Information System,Fall 2019 ,Interested,318,ENG TEST,NA ,8 CGPA ,6 months
75,SonalPDas,"University of Maryland, College Park",Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.7 CGPA ,60 months
76,shivani10397,"University of Maryland, College Park",Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.02 CGPA ,NA
77,priyabalaji,"University of Maryland, College Park",Management Information System,Fall 2019 ,Interested,N.A. ,IELTS,7.5,7.35 CGPA ,NA
78,Sujesh,"University of Maryland, College Park",Management Information System,Fall 2019 ,Interested,321,TOEFL,114,7.58 CGPA ,38 months
79,amloo123,"University of Maryland, College Park",Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.3 CGPA ,48 months
80,ambitasu1991,"University of Maryland, College Park",Management Information System,Spring 2019 ,Interested,322,ENG TEST,NA ,70%,60 months
81,kewalc,"University of Maryland, College Park",Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,58%,NA
82,JashKT,"University of Maryland, College Park",Management Information System,Fall 2019 ,Interested,316,ENG TEST,NA ,9 CGPA ,12 months
83,rathodyash,"University of Maryland, College Park",Management Information System,Fall 2020 ,Interested,305,ENG TEST,NA ,7.1 CGPA ,NA
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,Rahul33,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Applied,304,IELTS,7.5,62.50%,4 months
2,Shubhi20,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Applied,309,IELTS,7.5,9.24 CGPA ,40 months
3,vismita,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Applied,302,TOEFL,98,65%,29 months
4,Abhijeet94,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Applied,308,TOEFL,90,8.26 CGPA ,15 months
5,SagarVasaikar,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Applied,299,TOEFL,88,7.95 CGPA ,5 months
6,Kalyani khedkar,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Applied,302,TOEFL,93,7.79 CGPA ,30 months
7,sakshi22,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Applied,304,TOEFL,111,70%,12 months
8,Pratik Kadi,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Applied,302,TOEFL,81,56.99%,42 months
9,Koustubh7,University of North Carolina at Charlotte,Management Information System,Spring 2018 ,Applied,287,IELTS,7,73.50%,32 months
10,nidhiiii,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Applied,292,TOEFL,92,64%,NA
11,dee051,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Applied,297,TOEFL,97,53%,NA
12,mhhaji,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Applied,304,TOEFL,104,5.8 CGPA ,NA
13,sahsha,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Applied,304,TOEFL,93,78%,60 months
14,KaushalKC,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Applied,301,TOEFL,96,7.44 CGPA ,NA
15,shubhamanjankar,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Applied,305,TOEFL,97,6.23 CGPA ,4 months
16,Rony ,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Applied,303,TOEFL,85,6.26 CGPA ,NA
17,trishell,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Applied,294,TOEFL,93,6.5 CGPA ,2 months
18,RPS,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Applied,299,TOEFL,95,64%,42 months
19,pallovei,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Applied,299,TOEFL,92,57.80%,12 months
20,hranjan,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Applied,306,TOEFL,97,8.07 CGPA ,26 months
22,shubhm,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Admit,307,TOEFL,0,74%,15 months
23,rmanek,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Admit,310,TOEFL,96,56.40%,36 months
24,Disha0701,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Admit,308,TOEFL,84,68.50%,43 months
25,pragya27,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Admit,294,ENG TEST,NA ,75%,80 months
26,Prernsha,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Admit,297,TOEFL,94,8.5 CGPA ,27 months
27,Nayana1103,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Admit,298,TOEFL,91,69.30%,26 months
28,sreekanth1994,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Admit,299,IELTS,0,8.1 CGPA ,30 months
29,Shweth94,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Admit,310,TOEFL,90,71%,6 months
30,neetipopat,University of North Carolina at Charlotte,Management Information System,Fall 2014 ,Admit,306,TOEFL,96,62%,15 months
31,naqi2695,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Admit,303,TOEFL,95,6.9 CGPA ,12 months
32,chinniko,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Admit,301,IELTS,7,84.25%,50 months
33,Nishant1511,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Admit,N.A. ,TOEFL,89,65.95%,30 months
34,ShwetaShinde,University of North Carolina at Charlotte,Management Information System,Fall 2018  ,Admit,306,ENG TEST,NA ,65%,3 months
35,varaddesai,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Admit,305,TOEFL,95,67%,10 months
36,Sandyyy,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Admit,305,ENG TEST,NA ,8.5 CGPA ,6 months
37,zora,University of North Carolina at Charlotte,Management Information System,Spring 2018 ,Admit,302,IELTS,7,58.80%,13 months
38,Vishwa133,University of North Carolina at Charlotte,Management Information System,Spring 2018 ,Admit,310,TOEFL,111,56%,28 months
39,ramy,University of North Carolina at Charlotte,Management Information System,Spring 2018 ,Admit,305,TOEFL,98,8.35 CGPA ,19 months
40,deepamk,University of North Carolina at Charlotte,Management Information System,Spring 2018 ,Admit,300,TOEFL,107,55%,10 months
41,saswata,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Admit,309,TOEFL,100,8.61 CGPA ,39 months
43,ReemaM,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Reject,291,IELTS,6.5,67%,27 months
44,saloni9495,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Reject,N.A. ,IELTS,6.5,7.11 CGPA ,NA
45,gursimran18,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Reject,293,IELTS,6.5,7.69 CGPA ,17 months
46,Dipti92,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Reject,301,TOEFL,88,8.6 CGPA ,55 months
47,dakshgupta,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Reject,310,TOEFL,0,7.3 CGPA ,2 months
48,BhavAce,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Reject,312,TOEFL,113,10 CGPA ,NA
49,shiv2307,University of North Carolina at Charlotte,Management Information System,Spring 2018 ,Reject,302,TOEFL,83,6.3 CGPA ,45 months
50,sashankmadhu,University of North Carolina at Charlotte,Management Information System,Spring 2018 ,Reject,293,IELTS,7,6.1 CGPA ,NA
51,Shreya0110,University of North Carolina at Charlotte,Management Information System,Spring 2018 ,Reject,303,TOEFL,93,64.10%,2 months
52,RPC,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Reject,295,TOEFL,91,7.19 CGPA ,21 months
53,Mohithk,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Reject,303,ENG TEST,NA ,7.88 CGPA ,NA
54,Garvvson,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Reject,297,TOEFL,83,6.15 CGPA ,1 month
55,arshuuu,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Reject,310,TOEFL,90,6.5 CGPA ,18 months
56,Riazudeen,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Reject,305,TOEFL,90,6.89 CGPA ,19 months
57,iamygs,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Reject,305,TOEFL,101,7.4 CGPA ,NA
58,Niroop,University of North Carolina at Charlotte,Management Information System,Spring 2017 ,Reject,313,TOEFL,90,59%,18 months
59,sanhith,University of North Carolina at Charlotte,Management Information System,Spring 2017 ,Reject,300,IELTS,6.5,7.4 CGPA ,16 months
60,Ronza3490,University of North Carolina at Charlotte,Management Information System,Spring 2017 ,Reject,290,TOEFL,86,8.25 CGPA ,48 months
61,shanmuk91,University of North Carolina at Charlotte,Management Information System,Fall 2016 ,Reject,300,TOEFL,84,62%,42 months
62,impratikk,University of North Carolina at Charlotte,Management Information System,Fall 2016 ,Reject,307,TOEFL,93,60%,30 months
64,scsv10,University of North Carolina at Charlotte,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.98 CGPA ,NA
65,sulagna1994,University of North Carolina at Charlotte,Management Information System,Spring 2019 ,Interested,302,TOEFL,106,8.39 CGPA ,24 months
66,Goutham11,University of North Carolina at Charlotte,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,60%,NA
67,Naman Rungta,University of North Carolina at Charlotte,Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,72%,27 months
68,PrachiTembhekar,University of North Carolina at Charlotte,Management Information System,Fall 2019 ,Interested,290,ENG TEST,NA ,76%,NA
69,JashKT,University of North Carolina at Charlotte,Management Information System,Fall 2019 ,Interested,316,ENG TEST,NA ,9 CGPA ,12 months
70,shadeslayer12345,University of North Carolina at Charlotte,Management Information System,Fall 2017 ,Interested,309,TOEFL,93,59%,36 months
71,priyabalaji,University of North Carolina at Charlotte,Management Information System,Fall 2019 ,Interested,N.A. ,IELTS,7.5,7.35 CGPA ,NA
72,teja129,University of North Carolina at Charlotte,Management Information System,Spring 2019 ,Interested,296,TOEFL,90,64%,NA
73,amloo123,University of North Carolina at Charlotte,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.3 CGPA ,48 months
74,shruuu,University of North Carolina at Charlotte,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,9.03 CGPA ,NA
75,Shehnaz,University of North Carolina at Charlotte,Management Information System,Spring 2019 ,Interested,296,TOEFL,86,75%,36 months
76,nidhipriya1993,University of North Carolina at Charlotte,Management Information System,Spring 2019 ,Interested,298,TOEFL,90,9.12 CGPA ,24 months
77,MVPAVANKUMARREDDY,University of North Carolina at Charlotte,Management Information System,Spring 2019 ,Interested,290,IELTS,7,76%,8 months
78,antonynans,University of North Carolina at Charlotte,Management Information System,Fall 2019 ,Interested,302,ENG TEST,NA ,67%,NA
79,dinonota,University of North Carolina at Charlotte,Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,6.4 CGPA ,12 months
80,Pthree,University of North Carolina at Charlotte,Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,7.7 CGPA ,1 month
81,Ananya2,University of North Carolina at Charlotte,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,58%,NA
82,vasantp1996,University of North Carolina at Charlotte,Management Information System,Fall 2018 ,Interested,309,TOEFL,104,70%,NA
83,diviraj,University of North Carolina at Charlotte,Management Information System,Spring 2019 ,Interested,303,TOEFL,103,9 CGPA ,2 months
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,chaya,University of Pennsylvania,Management Information System,Fall 2017 ,Applied,N.A. ,ENG TEST,NA ,58%,20 months
2,shivasubbu,University of Pennsylvania,Management Information System,Spring 2016 ,Applied,N.A. ,IELTS,5.5,60%,NA
3,sacharan,University of Pennsylvania,Management Information System,Spring 2016 ,Applied,290,TOEFL,80,6 CGPA ,NA
4,akshat91,University of Pennsylvania,Management Information System,Fall 2017 ,Applied,311,IELTS,7.5,60%,55 months
5,shubhamvijan,University of Pennsylvania,Management Information System, Fall 2016 ,Applied,301,IELTS,7,6.35 CGPA ,10 months
7,aagam5195,University of Pennsylvania,Management Information System,Fall 2016 ,Admit,317,TOEFL,104,8 CGPA ,10 months
8,dhavalshroff.stupidsid,University of Pennsylvania,Management Information System,Fall 2013 ,Admit,317,TOEFL,108,64.30%,NA
11,ishitap2018,University of Pennsylvania,Management Information System,Fall 2019 ,Interested,311,ENG TEST,NA ,68%,45 months
12,sowmyan88,University of Pennsylvania,Management Information System,Spring 2019 ,Interested,310,IELTS,7.5,9.5 CGPA ,24 months
13,kamalchibrani,University of Pennsylvania,Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,8 CGPA ,NA
14,VAP34120,University of Pennsylvania,Management Information System,Spring 2019 ,Interested,315,IELTS,8,7.02 CGPA ,4 months
15,vivekku9944,University of Pennsylvania,Management Information System,Fall 2018 ,Interested,293,TOEFL,82,55%,22 months
16,hjkkjg,University of Pennsylvania,Management Information System,Fall 2019 ,Interested,318,ENG TEST,NA ,8 CGPA ,6 months
17,aviralpushkarna,University of Pennsylvania,Management Information System,Fall 2019 ,Interested,318,ENG TEST,NA ,7.71 CGPA ,NA
18,AdityaBenjamin,University of Pennsylvania,Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,6.75 CGPA ,22 months
19,shashi284,University of Pennsylvania,Management Information System,Fall 2016 ,Interested,315,TOEFL,104,8.54 CGPA ,30 months
20,diviraj,University of Pennsylvania,Management Information System,Spring 2019 ,Interested,303,TOEFL,103,9 CGPA ,2 months
21,priyabalaji,University of Pennsylvania,Management Information System,Fall 2019 ,Interested,N.A. ,IELTS,7.5,7.35 CGPA ,NA
22,rohitnairj,University of Pennsylvania,Management Information System,Fall 2019 ,Interested,308,ENG TEST,NA ,8.5 CGPA ,40 months
23,shaileshbh1984,University of Pennsylvania,Management Information System,Fall 2018 ,Interested,N.A. ,IELTS,0,55%,124 months
24,Raveesh94,University of Pennsylvania,Management Information System,Fall 2019 ,Interested,320,ENG TEST,NA ,7.69 CGPA ,7 months
25,DevRajBisi,University of Pennsylvania,Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,7.8 CGPA ,42 months
26,pullu03,University of Pennsylvania,Management Information System,Fall 2018 ,Interested,314,TOEFL,103,7.3 CGPA ,32 months
27,rosette,University of Pennsylvania,Management Information System,Fall 2017 ,Interested,302,ENG TEST,NA ,70%,60 months
28,Divij Kishore,University of Pennsylvania,Management Information System,Spring 2019 ,Interested,290,TOEFL,91,7.3 CGPA ,48 months
29,Siagre,University of Pennsylvania,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.38 CGPA ,2 months
