,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
7,Rashika510,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,315,ENG TEST,NA ,80%,NA
8,frey_b,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,300,TOEFL,103,9 CGPA ,30 months
9,Kherdekar,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,324,TOEFL,110,63.58%,16 months
10,Sai Subhasree,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,319,TOEFL,111,9.6 CGPA ,6 months
11,Adityakh5,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,318,IELTS,7.5,72%,60 months
12,Ash33,Carnegie Mellon University,Information Management and Systems,Fall 2017 ,Applied,325,TOEFL,109,63.65%,17 months
13,DarshG,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,315,TOEFL,101,9.81 CGPA ,NA
14,brucewayne1996,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,322,TOEFL,116,8.1 CGPA ,6 months
15,Abhi2612,Carnegie Mellon University,Information Management and Systems,Fall 2017 ,Applied,306,TOEFL,93,73%,NA
16,MayureshRM,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,318,TOEFL,0,73.50%,33 months
17,divsin12,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,296,TOEFL,91,72%,20 months
18,SnehaB,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,312,TOEFL,98,77.80%,31 months
19,sarjai91,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,N.A. ,ENG TEST,NA ,85%,28 months
20,supritag,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,321,TOEFL,0,88%,NA
22,MicroChip,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,308,TOEFL,102,7.48 CGPA ,15 months
23,ratnesh,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,315,TOEFL,108,83.30%,8 months
24,akanksha1811,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,321,TOEFL,109,83%,18 months
25,hrgupta,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,310,TOEFL,107,7.39 CGPA ,14 months
26,Debalinainferno,Carnegie Mellon University,Information Management and Systems,Spring 2018 ,Admit,315,TOEFL,109,85.40%,6 months
27,mihir0412,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,315,TOEFL,110,8.6 CGPA ,3 months
28,Harishb,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,329,TOEFL,0,75%,144 months
29,aknksgha,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,316,IELTS,8,75%,44 months
30,puntuk,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,316,TOEFL,104,8.55 CGPA ,60 months
31,rona2394,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,317,TOEFL,0,8.57 CGPA ,16 months
32,ankit1234,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,317,TOEFL,112,8.72 CGPA ,36 months
33,VIKI090,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,314,TOEFL,108,66.50%,24 months
34,KoSanjana,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,305,TOEFL,109,86%,25 months
35,ankit19910916,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,314,TOEFL,109,77%,38 months
36,Rin0808,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,318,TOEFL,103,90%,27 months
37,thevivekdwivedi,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,320,TOEFL,111,7.98 CGPA ,30 months
38,rpatz12,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,N.A. ,ENG TEST,NA ,8.34 CGPA ,NA
39,hproxnrulz,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,314,TOEFL,108,77.10%,22 months
40,hetsheth_15,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,330,TOEFL,116,8.19 CGPA ,NA
41,SomaguttaMahesh,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,321,TOEFL,106,78%,36 months
43,lamps1995,Carnegie Mellon University,Information Management and Systems,Spring 2019 ,Reject,N.A. ,TOEFL,106,69%,12 months
